filename,location,weather,time_of_day,emotion_label
_32760122.jpg,Kerala,rainy,morning,energetic
Misty_drive_with_a_Mahindra_Thar_32702970.jpg,Kerala,rainy,evening,peaceful
Misty_drive_with_a_Mahindra_Thar_32702969.jpg,Kerala,rainy,morning,peaceful
Misty_drive_with_a_Mahindra_Thar_32702973.jpg,Kerala,cloudy,evening,energetic
A_lone_hiker_admires_a_stunning_sunset_view_from_Ponmudi_Peak__creating_a_serene_landscape_scene._906531.jpg,Kerala,rainy,evening,peaceful
A_serene_moment_captured_by_a_waterfall_in_India_with_a_couple_enjoying_nature's_beauty_together._450441.jpg,Kerala,rainy,morning,peaceful
Stunning_view_of_Munnar's_tea_plantations_under_a_vibrant_blue_sky._731423.jpg,Kerala,sunny,evening,peaceful
Vibrant_tea_plantations_covering_rolling_hills_in_Munnar__India__showcasing_breathtaking_rural_landscapes._1065753.jpg,Kerala,cloudy,afternoon,peaceful
Vibrant_mangrove_at_sunset_in_Munroe_Island__India_with_vivid_reflections._13790858.jpg,Kerala,rainy,afternoon,peaceful
Explore_a_lush__green_tropical_forest_pathway_in_Kumarakom__India._795622.jpg,Kerala,cloudy,afternoon,energetic
Close-up_of_an_Asian_elephant_in_Kerala's_tropical_jungle__showcasing_its_majestic_presence._2499271.jpg,Kerala,cloudy,afternoon,neutral
Scenic_view_of_tea_plantations_with_workers_in_Kerala__India_capturing_the_essence_of_rural_life._29988777.jpg,Kerala,rainy,evening,energetic
Sunlit_tea_plantations_in_Munnar__India__showcasing_vibrant_green_fields_and_scenic_natural_landscapes._392100.jpg,Kerala,rainy,evening,peaceful
A_tranquil_view_of_a_person_under_a_tree_amidst_lush_greenery_and_rolling_hills_in_KL__India._29988779.jpg,Kerala,sunny,evening,peaceful
A_worker_harvesting_tea_leaves_in_the_vibrant_green_tea_plantations_of_Kerala__India._29988778.jpg,Kerala,rainy,afternoon,peaceful
Breathtaking_view_of_sunset_rays_over_mountains_and_lake_in_Kerala__India._2378278.jpg,Kerala,rainy,afternoon,energetic
Drone_view_of_rocky_coastline_with_waves_crashing__capturing_the_rugged_beauty_of_Thrissur__India._2949126.jpg,Kerala,cloudy,afternoon,neutral
Stunning_view_of_Chinnakanal_hills_with_lush_greenery_and_blue_sky._1786306.jpg,Kerala,rainy,morning,peaceful
A_serene_foggy_mountain_scene_in_Munnar__showcasing_nature's_beauty_in_India._770635.jpg,Kerala,sunny,evening,peaceful
Lush_green_tea_plantations_with_a_solitary_figure_in_Kerala__India._29988781.jpg,Kerala,rainy,afternoon,neutral
A_woman_with_long_hair_and_a_dog_on_a_grassy_hilltop_under_a_cloudy_sky_in_Idukki__India._14178575.jpg,Kerala,rainy,evening,neutral
A_dramatic_black_and_white_image_of_a_hand_buried_in_the_sand_on_Alappuzha_beach__Kerala._21300927.jpg,Kerala,cloudy,evening,peaceful
Serene_view_of_misty_Himalayan_mountains_at_dusk_in_Gandaki_Province__Nepal._24781707.jpg,Kerala,sunny,morning,peaceful
Stunning_waterfall_cascading_through_lush_green_tropical_rainforest__showcasing_natural_beauty_and_tranquility._247041.jpg,Kerala,rainy,evening,neutral
Winding_road_through_a_misty_forest_in_Kerala__India__surrounded_by_lush_greenery._3633950.jpg,Kerala,sunny,morning,energetic
Tranquil_waterfall_cascading_over_rocks_in_Poonjar_Vadakkekara__Kerala._1050604.jpg,Kerala,cloudy,morning,peaceful
A_young_white_goat_standing_on_a_lush_green_pasture_in_rural_Palakkad__India._1011629.jpg,Kerala,sunny,morning,peaceful
A_man_in_a_red_shirt_rowing_a_wooden_boat_on_a_calm_lake_in_India__showcasing_traditional_fishing_methods._2088136.jpg,Kerala,sunny,afternoon,neutral
A_serene_view_of_a_person_rowing_a_wooden_canoe_in_Kerala's_picturesque_backwaters._2780309.jpg,Kerala,rainy,afternoon,neutral
A_quaint_house_in_India_under_a_rainbow_on_a_rainy_day__showcasing_natural_beauty_and_tranquility._12194629.jpg,Kerala,cloudy,evening,peaceful
Egrets_wading_in_Kadamakkudy's_tranquil_wetlands_with_palm_trees_in_the_backdrop._30062331.jpg,Kerala,sunny,morning,energetic
A_woman_in_traditional_attire_strolls_through_a_sunlit_forest_path_in_KL__India__surrounded_by_lush_greenery._29988903.jpg,Kerala,cloudy,morning,peaceful
Silhouette_of_a_person_against_a_dramatic_orange_sunset_on_an_Indian_coastline._5606552.jpg,Kerala,rainy,evening,energetic
Explore_the_serene_lake_and_mountains_in_Vazhoor__Kerala__India_with_misty_scenic_views._2468816.jpg,Kerala,rainy,afternoon,energetic
Scenic_bridge_in_lush_green_jungle_near_Palakkad__India._Perfect_for_travel_and_nature_themes._288164.jpg,Kerala,sunny,afternoon,peaceful
Top-down_view_of_a_serene_canal_surrounded_by_lush_tropical_palm_trees__featuring_boats_in_Kerala__India._12193834.jpg,Kerala,sunny,afternoon,peaceful
Vibrant_young_couple_seated_by_a_waterfall_in_Kerala__India__enjoying_nature_and_conversation._3280559.jpg,Kerala,cloudy,morning,peaceful
A_hand_holds_wildflowers_with_mountains_under_a_cloudy_sky__creating_a_serene_outdoor_scene._1657212.jpg,Kerala,cloudy,evening,energetic
Captivating_sunset_view_over_the_Arabian_Sea_at_Beypore_Beach__India._Perfect_for_tranquil_backgrounds._16141237.jpg,Kerala,sunny,evening,peaceful
Tranquil_scene_of_a_cascading_stream_gently_flowing_over_rocks_in_Ponmudi__India._4198186.jpg,Kerala,cloudy,evening,neutral
Foggy_coconut_plantation_in_Palakkad__Kerala_at_sunrise__capturing_lush_greenery_and_tranquil_beauty._1273246.jpg,Kerala,rainy,evening,energetic
A_breathtaking_view_of_mist-covered_mountains_in_Kannan_Devan_Hills__showcasing_lush_greenery_and_dramatic_clouds._943592.jpg,Kerala,cloudy,morning,neutral
Young_man_in_casual_attire_posing_by_a_river_in_Thiruvananthapuram__Kerala__India._954904.jpg,Kerala,sunny,morning,energetic
A_lone_man_stands_atop_a_rocky_cliff_in_Idukki__India__basking_in_a_panoramic_view._3547279.jpg,Kerala,cloudy,evening,neutral
Misty_forest_road_in_Periyar__India__shrouded_in_fog_and_tall_trees__creates_a_serene_atmosphere._20290142.jpg,Kerala,sunny,morning,energetic
Stunning_sunset_over_a_tranquil_lake_with_palm_trees_reflecting_in_the_water_in_Palakkad__India._716103.jpg,Kerala,cloudy,afternoon,peaceful
Elegant_young_woman_wearing_a_white_maxi_dress_poses_thoughtfully_in_a_lush_park_in_Thodupuzha__India._20544951.jpg,Kerala,rainy,afternoon,peaceful
Tranquil_lakeside_view_with_misty_trees_in_Ernakulam__India__showcasing_serene_nature._980178.jpg,Kerala,sunny,evening,peaceful
Macro_shot_capturing_dew_on_lush_green_moss_in_a_serene_garden_setting._1049771.jpg,Kerala,sunny,morning,neutral
A_motorcyclist_takes_a_break_on_a_scenic_road_in_Palakkad__Kerala__surrounded_by_motorcycles._1049872.jpg,Kerala,sunny,evening,peaceful
A_breathtaking_golden_sunset_with_dramatic_clouds_in_Thrissur__India._724507.jpg,Kerala,cloudy,afternoon,neutral
Picturesque_view_of_Marayoor's_landscape__featuring_green_fields__mountains__and_a_vibrant_blue_sky._1098423.jpg,Kerala,cloudy,morning,peaceful
A_girl_stands_in_a_wheat_field_during_sunset__creating_a_serene_countryside_scene._1446375.jpg,Kerala,sunny,evening,energetic
Man_leaning_against_a_classic_red_car_outdoors__capturing_a_vintage_automotive_lifestyle._3617332.jpg,Kerala,cloudy,evening,energetic
A_white_goat_stands_in_a_vibrant_green_pasture__exemplifying_rural_life._1011628.jpg,Kerala,cloudy,afternoon,neutral
Close-up_of_sunlit_fern_leaves_in_a_tranquil_Munnar_forest_setting__showcasing_natural_beauty._12035227.jpg,Kerala,rainy,afternoon,neutral
Serene_lakeside_scenery_with_lush_greenery_under_a_cloudy_sky_in_Anachal__India._4066831.jpg,Kerala,sunny,evening,peaceful
Vibrant_houses_line_the_lush_green_tea_plantation_hills_in_Munnar__India_under_a_cloudy_sky._3714923.jpg,Kerala,cloudy,evening,neutral
Vibrant_green_leaves_under_sunlight_in_Palakkad_forest._Ideal_for_nature_and_conservation_themes._1376401.jpg,Kerala,cloudy,afternoon,peaceful
Scenic_clouds_envelop_the_misty_mountains_of_Palakkad__creating_a_serene_landscape._943593.jpg,Kerala,rainy,evening,peaceful
A_young_woman_standing_on_a_beach_in_Kerala._Soft__pastel_tones_create_a_serene__calm_mood._32360769.jpg,Kerala,cloudy,evening,peaceful
Serene_tropical_beach_with_lush_greenery__gentle_waves__and_a_peaceful_sky_in_Chemancheri__India._2376276.jpg,Kerala,cloudy,afternoon,peaceful
A_stunning_silhouette_of_mountains_and_trees_against_a_vibrant_sunset_in_Kozhikode__India._1049796.jpg,Kerala,cloudy,afternoon,neutral
A_white_goat_standing_in_a_vibrant_green_pasture_in_rural_India._1011627.jpg,Kerala,sunny,morning,neutral
A_scenic_view_of_a_wooden_bridge_amidst_lush_greenery_and_tranquil_surroundings_in_an_Indian_resort._577269.jpg,Kerala,rainy,morning,energetic
Detailed_close-up_of_green_leaves_showcasing_natural_texture_in_an_outdoor_setting._2064478.jpg,Kerala,cloudy,afternoon,energetic
Senior_man_standing_in_a_forest_in_Meppadi__India__wearing_a_white_shirt._16480195.jpg,Kerala,rainy,evening,energetic
_32651867.jpg,Kerala,cloudy,afternoon,energetic
An_aerial_view_showcasing_lush_green_tea_plantations_in_Kerala__India_with_a_lone_worker_visible._32262522.jpg,Kerala,sunny,morning,peaceful
A_picturesque_road_winding_through_the_lush_green_forests_of_Nilambur__Kerala__India._24740776.jpg,Kerala,rainy,afternoon,energetic
A_man_building_a_stone_cairn_in_İncesu__Kayseri__Türkiye_during_sunset._19153156.jpg,Kerala,sunny,morning,energetic
A_hiker_conquers_rough_terrain_in_İncesu__Kayseri__showcasing_adventure_and_nature._19153152.jpg,Kerala,cloudy,morning,peaceful
Scenic_view_of_waves_crashing_on_rocks_at_Varkala_Beach_in_Kerala__India._31740020.jpg,Kerala,sunny,evening,peaceful
Tranquil_riverside_scene_featuring_a_traditional_boat_and_lush_greenery_in_Ramamangalam__Kerala._31643020.jpg,Kerala,rainy,afternoon,energetic
A_breathtaking_view_of_the_lush_green_mountains_in_Munnar__Kerala__India._13260908.jpg,Kerala,cloudy,morning,peaceful
A_lone_hiker_stands_atop_a_rocky_peak_in_İncesu__Kayseri__Türkiye__surrounded_by_autumn_scenery._19153155.jpg,Kerala,sunny,evening,neutral
Aerial_view_of_vibrant_green_tea_plantations_with_workers_in_picturesque_Munnar__India._32262521.jpg,Kerala,sunny,evening,peaceful
Silhouette_of_a_person_standing_on_rocks_during_a_stunning_sunset_at_Varkala_Beach__Kerala__India._31740588.jpg,Kerala,rainy,evening,peaceful
Experience_the_serene_beauty_of_a_misty_sunrise_over_lush_mountains_at_Top_Station__India._6406746.jpg,Kerala,sunny,morning,peaceful
A_lone_hiker_wanders_the_vast_rock_formations_in_Vagamon__Kerala__under_a_serene_sky._7353912.jpg,Kerala,rainy,evening,neutral
Silhouette_of_a_distant_fishing_boat_on_the_tranquil_ocean_during_sunset_at_a_sandy_beach._8410226.jpg,Kerala,sunny,afternoon,peaceful
Stunning_twilight_sky_with_vibrant_clouds_in_Pullu__India._18954235.jpg,Kerala,sunny,afternoon,neutral
Captivating_aerial_shot_of_verdant_tea_plantations_in_Munnar__showcasing_the_beauty_of_Indian_agriculture._32262520.jpg,Kerala,sunny,morning,neutral
Serene_river_flanked_by_lush_coconut_trees_under_a_bright_sky__perfect_for_nature_lovers._12313299.jpg,Kerala,sunny,afternoon,peaceful
A_peaceful_sunset_scene_by_the_Indian_Ocean_with_a_boat_silhouette__capturing_warm_and_vibrant_colors._10979593.jpg,Kerala,cloudy,morning,energetic
Aerial_view_showcasing_a_tranquil_river_in_Kerala__India__with_lush_green_landscapes_and_a_traditional_houseboat._29988899.jpg,Kerala,rainy,morning,peaceful
Autumn_view_of_İncesu__Kayseri_with_a_lone_figure__capturing_the_rugged_terrain_and_vibrant_fall_foliage._19153153.jpg,Kerala,sunny,afternoon,neutral
A_serene_view_of_birds_flying_in_a_V-formation_against_a_clear_sky_in_Palakkad__India._17366054.jpg,Kerala,sunny,morning,neutral
A_calm_scene_with_a_boat_docked_by_lush_greenery_and_tranquil_waters_in_Alappuzha__Kerala._31281330.jpg,Kerala,sunny,evening,energetic
Colorful_boats_beneath_blooming_branches_on_a_sunny_day_in_Kochi__Kerala._31897936.jpg,Kerala,rainy,morning,peaceful
Serene_view_of_Vagamon's_lush_tea_plantations_and_misty_hills_at_sunrise._13691357.jpg,Kerala,sunny,morning,energetic
Hikers_enjoy_a_scenic_trail_on_Ponmudi_hilltop_surrounded_by_lush_green_landscape_in_India._7800807.jpg,Kerala,sunny,evening,peaceful
_32518618.jpg,Kerala,cloudy,afternoon,peaceful
Breathtaking_view_of_misty_mountains_and_lush_greenery_in_Vagamon__Kerala__India_at_sunrise._14844302.jpg,Kerala,cloudy,evening,energetic
Capture_the_fiery_sunset_sky_in_Pullu__India_with_a_stunning_silhouette_view._18954213.jpg,Kerala,sunny,evening,peaceful
Explore_the_lush_tea_plantations_of_Mankulam__Kerala__with_vibrant_green_hills_and_charming_hillside_homes._32066845.jpg,Kerala,sunny,afternoon,neutral
A_lone_palm_tree_stands_against_the_misty_backdrop_of_Kerala's_lush_green_hills._29988886.jpg,Kerala,sunny,morning,energetic
Romantic_silhouette_of_a_couple_at_sunset_creating_a_serene_and_intimate_atmosphere._20183432.jpg,Kerala,sunny,afternoon,peaceful
A_stunning_sunset_over_the_Arabian_Sea_with_a_silhouette_of_a_boat_near_Kerala__India._29568827.jpg,Kerala,rainy,evening,peaceful
Enchanting_misty_forest_trail_in_the_green_landscape_of_Ponmudi__Kerala__India__surrounded_by_lush_foliage._12883589.jpg,Kerala,cloudy,afternoon,peaceful
